codice,nome,CFU,settore,n_settore,TAF_Ambito,ore_lezione,ore_laboratorio,ore_tirocinio,tipo_insegnamento,semestre,descrizione_semestre,anno1,anno2
500402,METODOLOGIA MEDICO SCIENTIFICA,8,,,,64,,,Obbligatorio,2,Secondo Semestre,2,
500000,PROVA FINALE,18,PROFIN_S,,Lingua/Prova Finale / Per la prova finale,144,,,Obbligatorio,2,Secondo Semestre,6,
500026,STATISTICA,5,MED,01,"Caratterizzante / Inglese scientifico e
abilità linguistiche, informatiche e relazionali, pedagogia medica,
tecnologie avanzate e a distanza di informazione e comunicazione",40,,,Obbligatorio,0,,2,
500124,ECONOMIA AZIENDALE,1,SECS-P,07,"Caratterizzante / Scienze umane, politiche
della salute e management sanitario",8,,,Obbligatorio,0,,2,
500130,CHIMICA,4,BIO,10,"Base / Struttura, funzione e metabolismo
delle molecole d’interesse biologico",32,,,Obbligatorio,1,Primo Semestre,1,
500131,PROPEDEUTICA BIOCHIMICA,3,BIO,10,"Base / Struttura, funzione e metabolismo
delle molecole d’interesse biologico",24,,,Obbligatorio,1,Primo Semestre,1,
500134,BIOLOGIA GENERALE,4,BIO,13,"Base / Discipline generali per la
formazione del medico",32,,,Obbligatorio,1,Primo Semestre,1,
500136,GENETICA UMANA,3,MED,03,"Base / Discipline generali per la
formazione del medico",24,,,Obbligatorio,1,Primo Semestre,2,
500161,ANATOMIA UMANA,20,,,,160,,,Obbligatorio,3,Primo e Secondo Semestre,1,
500162,ISTOLOGIA,4,BIO,17,Base / Morfologia umana,32,,,Obbligatorio,0,,1,
500191,BIOCHIMICA,18,,,,144,,,Obbligatorio,3,Primo e Secondo Semestre,1,
500195,GENETICA MEDICA,1,MED,03,"Caratterizzante / Clinica delle specialità
medico-chirurgiche",8,,,Obbligatorio,0,,6,
500198,FARMACOLOGIA,1,BIO,14,"Caratterizzante / Farmacologia,
tossicologia e principi di terapia medica",8,,,Obbligatorio,0,,5,
500210,BIOETICA,2,MED,02,"Caratterizzante / Scienze umane, politiche
della salute e management sanitario",16,,,Obbligatorio,0,,6,
500312,FISIOLOGIA UMANA,20,,,,160,,,Obbligatorio,3,Primo e Secondo Semestre,2,
500431,ELEMENTI DI BIOCHIMICA,7,BIO,10,"Base / Struttura, funzione e metabolismo
delle molecole d’interesse biologico",56,,,Obbligatorio,2,Secondo Semestre,1,
500434,BIOCHIMICA CELLULARE,2,BIO,10,"Base / Struttura, funzione e metabolismo
delle molecole d’interesse biologico",16,,,Obbligatorio,2,Secondo Semestre,1,
500435,ISTOLOGIA E EMBRIOLOGIA,9,,,,72,,,Obbligatorio,2,Secondo Semestre,1,
500436,ANATOMIA 1,9,BIO,16,"Affine/Integrativa / Attività formative
affini o integrative",72,,,Obbligatorio,1,Primo Semestre,1,
500738,STORIA MEDICINA,2,MED,02,"Caratterizzante / Inglese scientifico e
abilità linguistiche, informatiche e relazionali, pedagogia medica,
tecnologie avanzate e a distanza di informazione e comunicazione",16,,,Obbligatorio,0,,2,
500757,IGIENE AMBIENTALE,1,MED,42,"Caratterizzante / Fisiopatologia,
metodologia clinica, propedeutica clinica e sistematica medico-chirurgica",8,,,Obbligatorio,0,,6,
500763,EMBRIOLOGIA,3,BIO,17,Base / Morfologia umana,24,,,Obbligatorio,0,,1,
500764,CITOLOGIA,2,BIO,17,Base / Morfologia umana,16,,,Obbligatorio,0,,1,
501317,MICROBIOLOGIA,9,,,,12,64,,Obbligatorio,2,Secondo Semestre,3,
501322,TOSSICOLOGIA,1,BIO,14,"Caratterizzante / Fisiopatologia,
metodologia clinica, propedeutica clinica e sistematica medico-chirurgica",8,,,Obbligatorio,0,,5,
501346,FARMACOCINETICA,1,BIO,14,"Caratterizzante / Farmacologia,
tossicologia e principi di terapia medica",8,,,Obbligatorio,0,,3,
501356,FARMACOLOGIA APPLICATA,1,BIO,14,"Caratterizzante / Farmacologia,
tossicologia e principi di terapia medica",8,,,Obbligatorio,0,,5,
501494,CHIRURGIA GENERALE,3,MED,18,"Caratterizzante / Fisiopatologia,
metodologia clinica, propedeutica clinica e sistematica medico-chirurgica",16,12,,Obbligatorio,2,Secondo Semestre,3,
501495,DERMATOLOGIA,2,MED,35,"Caratterizzante / Clinica delle specialità
medico-chirurgiche",16,,,Obbligatorio,0,,4,
501497,MEDICINA LEGALE,4,MED,43,"Caratterizzante / Medicina e sanità
pubblica e degli ambienti di lavoro e scienze medico legali",32,,,Obbligatorio,0,,6,
501498,NEUROLOGIA,5,MED,26,Caratterizzante / Discipline neurologiche,40,,,Obbligatorio,0,,5,
501593,NEUROSCIENZE,1,BIO,09,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,1,2
501624,MALATTIE INFETTIVE,5,MED,17,Caratterizzante / Medicina di comunità,40,,,Obbligatorio,1,Primo Semestre,5,
501627,ENDOCRINOLOGIA,3,MED,13,"Caratterizzante / Fisiopatologia,
metodologia clinica, propedeutica clinica e sistematica medico-chirurgica",24,,,Obbligatorio,0,,3,
501628,GINECOLOGIA E OSTETRICIA,6,,,,48,,,Obbligatorio,1,Primo Semestre,6,
501630,NEFROLOGIA,4,MED,14,"Caratterizzante / Formazione clinica
interdisciplinare e medicina basata sulle evidenze",32,,,Obbligatorio,0,,4,
501631,GASTROENTEROLOGIA,3,MED,12,"Caratterizzante / Clinica delle specialità
medico-chirurgiche",24,,,Obbligatorio,0,,4,
501634,ONCOLOGIA MEDICA,2,MED,06,"Caratterizzante / Clinica delle specialità
medico-chirurgiche",16,,,Obbligatorio,0,,4,
501636,ORTOPEDIA,2,MED,33,"Caratterizzante / Clinica medico-chirurgica
dell’apparato locomotore",16,,,Obbligatorio,0,,4,
501657,MEDICINA DELLO SPORT,2,BIO,09,"A scelta dello studente / A scelta dello
studente",16,,,,1,Primo Semestre,1,2
501667,"MALATTIE DELL’APPARATO
LOCOMOTORE",4,,,,32,,,Obbligatorio,2,,4,
501670,FARMACOLOGIA GENERALE,2,BIO,14,"Caratterizzante / Farmacologia,
tossicologia e principi di terapia medica",16,,,Obbligatorio,0,,3,
501680,ANATOMIA 2,11,BIO,16,Base / Morfologia umana,88,,,Obbligatorio,2,Secondo Semestre,1,
501682,FISIOLOGIA RESPIRATORIA,3,BIO,09,"Base / Funzioni biologiche integrate di
organi, sistemi e apparati umani",24,,,Obbligatorio,2,Secondo Semestre,2,
501683,NEUROFISIOLOGIA,3,BIO,09,"Base / Funzioni biologiche integrate di
organi, sistemi e apparati umani",24,,,Obbligatorio,2,Secondo Semestre,2,
501684,FISIOLOGIA RENE,2,BIO,09,"Base / Funzioni biologiche integrate di
organi, sistemi e apparati umani",16,,,Obbligatorio,1,Primo Semestre,2,
501685,FISIOLOGIA GASTROENTEROLOGICA,2,BIO,09,"Base / Funzioni biologiche integrate di
organi, sistemi e apparati umani",16,,,Obbligatorio,1,Primo Semestre,2,
501687,IMMUNOLOGIA,5,MED,04,"Caratterizzante / Patologia generale e
molecolare, immunopatologia, fisiopatologia generale, microbiologia e
parassitologia",32,12,,Obbligatorio,2,Secondo Semestre,2,
501690,FARMACOLOGIA 1,5,,,,40,,,Obbligatorio,1,Primo Semestre,3,
501692,IGIENE E MEDICINA DI COMUNITA’,3,MED,42,"Caratterizzante / Fisiopatologia,
metodologia clinica, propedeutica clinica e sistematica medico-chirurgica",24,,,Obbligatorio,0,,2,
501694,FARMACOLOGIA 2,5,,,,40,,,Obbligatorio,2,Secondo Semestre,5,
501695,ANATOMIA PATOLOGICA,8,MED,08,"Caratterizzante / Discipline
anatomo-patologiche e correlazioni anatomo-cliniche",64,,,Obbligatorio,2,Secondo Semestre,4,
501699,MICROBIOLOGIA CLINICA,2,MED,07,"Caratterizzante / Medicina di laboratorio e
diagnostica integrata",16,,,Obbligatorio,0,,3,
501746,PSICHIATRIA,5,,,,40,,,Obbligatorio,1,Primo Semestre,5,
501747,NEUROCHIRURGIA,1,MED,27,Caratterizzante / Discipline neurologiche,8,,,Obbligatorio,0,,5,
501753,CHIRURGIA MAXILLO FACCIALE,1,MED,29,"Affine/Integrativa / Attività formative
affini o integrative",8,,,Obbligatorio,0,,5,
501754,OTORINOLARINGOIATRIA,2,MED,31,"Caratterizzante / Clinica medico-chirurgica
degli organi di senso",16,,,Obbligatorio,0,,5,
501763,PEDIATRIA,7,,,,56,,,Obbligatorio,2,Secondo Semestre,5,
501768,FISIOLOGIA DEL MUSCOLO,2,BIO,09,"Base / Funzioni biologiche integrate di
organi, sistemi e apparati umani",16,,,Obbligatorio,1,Primo Semestre,2,
501769,FISIOLOGIA CARDIOCIRCOLATORIA,3,BIO,09,"Base / Funzioni biologiche integrate di
organi, sistemi e apparati umani",24,,,Obbligatorio,2,Secondo Semestre,2,
501770,FISIOLOGIA ENDOCRINOLOGICA,2,BIO,09,"Base / Funzioni biologiche integrate di
organi, sistemi e apparati umani",16,,,Obbligatorio,2,Secondo Semestre,2,
501771,SEMEIOTICA MEDICA E CHIRURGICA,7,,,,40,24,,Obbligatorio,3,Primo e Secondo Semestre,3,
501772,SEMEIOTICA MEDICA,3,MED,09,"Caratterizzante / Medicina delle attività
motorie e del benessere",16,12,,Obbligatorio,1,Primo Semestre,3,
501773,MEDICINA DI LABORATORIO,5,BIO,12,"Caratterizzante / Medicina di laboratorio e
diagnostica integrata",24,24,,Obbligatorio,2,Secondo Semestre,3,
501777,SEMEIOTICA STRUMENTALE,1,MED,36,"Caratterizzante / Medicina di laboratorio e
diagnostica integrata",8,,,Obbligatorio,1,Primo Semestre,3,
501778,"MALATTIE DEL SISTEMA
IMMUNITARIO E REUMATOLOGIA",4,,,,32,,,Obbligatorio,2,Secondo Semestre,4,
501779,REUMATOLOGIA,3,MED,16,"Caratterizzante / Formazione clinica
interdisciplinare e medicina basata sulle evidenze",24,,,Obbligatorio,0,,4,
501780,IMMUNOLOGIA CLINICA,1,MED,09,"Caratterizzante / Formazione clinica
interdisciplinare e medicina basata sulle evidenze",8,,,Obbligatorio,0,,4,
501781,MALATTIE SANGUE,5,,,,40,,,Obbligatorio,2,Secondo Semestre,3,
501782,EMATOLOGIA,3,MED,15,"Caratterizzante / Formazione clinica
interdisciplinare e medicina basata sulle evidenze",24,,,Obbligatorio,0,,3,
501783,ONCOLOGIA EMATOLOGICA,1,MED,15,"Caratterizzante / Formazione clinica
interdisciplinare e medicina basata sulle evidenze",8,,,Obbligatorio,0,,3,
501784,MALATTIE CARDIOVASCOLARI,6,,,,48,,,Obbligatorio,1,Primo Semestre,4,
501785,CARDIOLOGIA,4,MED,11,"Caratterizzante / Clinica delle specialità
medico-chirurgiche",32,,,Obbligatorio,0,,4,
501786,CHIRURGIA CARDIACA,1,MED,23,"Caratterizzante / Clinica delle specialità
medico-chirurgiche",8,,,Obbligatorio,0,,4,
501787,CHIRURGIA VASCOLARE,1,MED,22,"Caratterizzante / Clinica delle specialità
medico-chirurgiche",8,,,Obbligatorio,0,,4,
501788,MALATTIE APPARATO RESPIRATORIO,5,,,,40,,,Obbligatorio,1,Primo Semestre,4,
501789,CHIRURGIA TORACICA,1,MED,21,"Caratterizzante / Clinica delle specialità
medico-chirurgiche",8,,,Obbligatorio,0,,4,
501790,"MALATTIE DEL RENE E APPARATO
URINARIO",5,,,,40,,,Obbligatorio,1,Primo Semestre,4,
501791,UROLOGIA,1,MED,24,"Caratterizzante / Clinica delle specialità
medico-chirurgiche",8,,,Obbligatorio,0,,4,
501792,MEDICINA FISICA E RIABILITAZIONE,2,MED,34,"Caratterizzante / Clinica medico-chirurgica
dell’apparato locomotore",16,,,Obbligatorio,0,,4,
501793,"MALATTIE SISTEMA ENDOCRINO E
METABOLISMO",5,,,,40,,,Obbligatorio,2,Secondo Semestre,3,
